Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
C. Kupp,LAR,1,373,1,367,6,24.2%,6,23.6%,126,1237,1,1373,10,10,73%,0,2/11
J. Jefferson,MIN,2,349,2,323,3,32.0%,4,28.6%,98,1027,2,1153,6,20,68%,1,4/84
D. Adams,GB,3,250,3,260,12,13.8%,11,14.8%,115,1083,3,1138,5,18,70%,0,6/75
C. Kirk,ARI,4,222,4,238,2,34.4%,2,37.7%,60,628,21,713,4,2,80%,0,0/0
T. Hill,KC,5,206,11,172,21,8.6%,28,5.1%,122,932,4,1095,8,19,69%,2,0/0
C. Godwin,TB,6,202,5,228,10,14.4%,8,17.8%,88,806,6,907,5,6,76%,2,3/39
D. Hopkins,ARI,7,201,6,225,1,36.8%,1,42.7%,49,486,28,626,7,12,71%,0,3/49
K. Bourne,NE,8,176,7,189,4,30.7%,3,33.9%,53,623,33,590,5,3,79%,1,1/7
C. Lamb,DAL,9,173,12,172,11,14.1%,13,13.9%,77,740,15,783,6,30,65%,0,4/30
T. Patrick,DEN,10,172,13,172,5,25.9%,5,25.9%,56,549,29,615,4,17,70%,0,1/35
T. Lockett,SEA,11,171,8,180,9,14.4%,9,15.8%,76,813,16,766,3,26,66%,0,5/123
D. Samuel,SF,12,158,21,135,19,9.8%,25,6.6%,92,1006,10,804,5,42,61%,2,0/0
S. Diggs,BUF,13,157,9,179,25,6.1%,20,8.7%,101,847,5,912,7,25,66%,1,3/56
M. Evans,TB,14,153,10,174,18,10.5%,14,13.8%,82,695,17,762,10,40,61%,0,1/1
C. Sutton,DEN,15,153,14,159,14,13.7%,12,14.7%,70,634,24,698,2,32,64%,0,4/77
D. Smith,PHI,16,146,15,150,16,11.4%,17,12.0%,78,686,22,711,4,39,62%,1,3/29
M. Williams,LAC,17,146,16,149,23,7.8%,21,8.2%,86,744,12,797,7,51,58%,0,3/55
A. Thielen,MIN,18,144,24,127,22,7.8%,27,5.3%,90,686,14,787,10,15,70%,1,0/0
A. Cooper,DAL,19,143,22,134,13,13.8%,16,12.2%,65,583,25,651,5,21,68%,1,2/18
M. Pittman,IND,20,141,17,148,24,7.1%,22,8.0%,91,805,13,792,5,23,67%,1,2/57
H. Renfrow,LV,21,137,23,129,20,9.1%,24,7.7%,82,658,20,716,4,5,78%,0,1/9
E. Sanders,BUF,22,135,18,143,7,17.6%,7,19.4%,61,559,37,562,4,47,59%,0,0/0
R. Woods,LAR,23,128,20,139,17,10.7%,15,12.6%,69,556,26,635,4,28,65%,0,1/13
A. Green,ARI,24,123,26,121,8,16.0%,10,15.6%,55,538,39,530,3,38,62%,0,1/14
J. Chase,CIN,25,118,19,142,26,5.4%,19,9.2%,82,906,23,704,8,40,61%,2,0/0
J. Waddle,MIA,26,114,27,112,30,1.3%,30,1.2%,103,759,9,830,5,9,75%,1,2/22
T. McLaurin,WAS,27,112,30,82,29,1.7%,34,-2.2%,98,786,11,802,5,46,59%,0,2/23
T. Higgins,CIN,28,99,28,105,27,5.0%,26,5.9%,68,560,30,605,3,35,63%,1,4/68
B. Aiyuk,SF,29,96,29,88,15,13.3%,18,11.2%,48,432,45,443,3,24,67%,1,1/35
D. Metcalf,SEA,30,94,25,123,28,3.0%,23,7.8%,76,650,27,627,8,37,62%,1,1/13
B. Cooks,HOU,31,83,31,73,36,-1.8%,35,-3.1%,92,702,19,744,3,22,67%,0,4/66
D. Johnson,PIT,32,83,37,51,38,-3.3%,44,-6.9%,109,809,8,838,4,36,62%,1,3/52
K. Allen,LAC,33,64,34,66,43,-5.9%,42,-5.7%,116,895,7,868,2,16,70%,1,3/34
C. Davis,NYJ,34,63,36,54,31,0.8%,31,-1.0%,56,477,42,473,4,52,57%,2,3/72
C. Claypool,PIT,35,63,38,46,35,-1.4%,37,-4.3%,69,608,38,544,1,56,54%,0,3/41
V. Jefferson,LAR,36,59,35,57,34,-1.1%,32,-1.5%,62,580,41,503,4,57,53%,0,1/32
A. Brown,TEN,37,59,42,40,37,-3.0%,43,-6.1%,78,615,34,585,3,48,59%,0,0/0
N. Agholor,NE,38,57,33,68,33,0.0%,29,2.5%,54,416,43,448,3,45,59%,0,4/43
M. Callaway,NO,39,53,39,44,32,0.6%,33,-1.6%,51,396,48,402,6,58,53%,0,1/4
D. Mooney,CHI,40,46,47,21,42,-5.7%,51,-9.5%,83,694,31,602,3,55,55%,0,0/0
A. Robinson,CHI,41,37,44,31,39,-3.7%,40,-5.1%,50,339,49,393,1,43,60%,0,3/68
M. Jones,JAX,42,35,46,25,44,-7.1%,47,-8.8%,79,529,36,570,3,50,58%,0,3/43
D. Moore,CAR,43,35,32,69,46,-8.6%,39,-4.8%,112,854,18,762,4,49,59%,1,1/33
M. Hardman,KC,44,34,48,18,41,-5.6%,48,-8.9%,59,424,46,438,1,13,71%,1,0/0
K. Toney,NYG,45,31,43,32,40,-4.4%,36,-4.2%,48,392,51,349,0,11,73%,0,0/0
T. Boyd,CIN,46,20,41,41,47,-8.7%,38,-4.7%,65,471,44,447,2,14,71%,0,0/0
R. Moore,ARI,47,19,49,17,45,-7.9%,46,-8.5%,55,413,50,361,1,1,85%,1,1/11
M. Brown,BAL,48,19,45,30,49,-10.0%,45,-8.4%,92,770,32,601,6,28,65%,2,1/17
C. Beasley,BUF,49,14,40,44,50,-10.3%,41,-5.4%,79,530,40,513,1,4,78%,0,0/0
E. Moore,NYJ,50,14,50,16,48,-9.9%,49,-9.4%,65,461,47,434,4,53,57%,0,1/41
K. Raymond,DET,51,6,51,13,51,-11.2%,50,-9.5%,51,379,52,335,2,31,65%,0,0/0
J. Landry,CLE,52,4,55,-6,52,-11.6%,55,-14.1%,52,356,54,323,0,33,63%,1,1/14
A. St. Brown,DET,53,2,52,11,53,-12.1%,52,-9.9%,52,352,53,326,0,8,75%,0,0/0
J. Crowder,NYJ,54,-7,53,-1,55,-14.4%,54,-12.9%,50,310,56,310,2,7,76%,1,0/0
J. Meyers,NE,55,-13,54,-2,54,-14.4%,53,-12.9%,90,620,35,579,1,27,66%,0,3/29
C. Ridley,ATL,56,-20,56,-11,56,-17.4%,56,-15.1%,52,281,55,318,2,44,60%,0,3/74
Z. Pascal,IND,57,-61,57,-61,57,-25.7%,57,-25.8%,60,340,57,290,3,54,57%,1,2/65
L. Shenault,JAX,58,-107,58,-97,58,-33.0%,58,-31.1%,71,441,58,270,0,34,63%,1,0/0
R. Anderson,CAR,59,-169,59,-166,59,-45.3%,59,-44.7%,69,288,59,172,3,59,42%,0,0/0

Player,Team,DYAR Rank,DYAR,YAR Rank,YAR,DVOA Rank,DVOA,VOA Rank,VOA,Passes,Yards,EYds Rank,EYds,TD,Catch Rate Rank,Catch Rate,FUM,DPI
H. Ruggs,LV,1,139,1,142,8,33.6%,8,34.9%,36,469,3,448,2,27,67%,0,1/45
B. Edwards,LV,2,128,3,125,15,24.9%,15,24.2%,40,446,1,465,2,75,55%,0,3/57
A. Brown,TB,3,125,4,122,16,24.2%,17,23.3%,42,418,2,459,4,22,69%,0,1/7
B. Pringle,KC,4,122,2,127,7,36.1%,5,38.4%,32,338,8,383,3,18,72%,0,0/0
R. Cobb,GB,5,113,5,113,18,22.3%,18,22.2%,39,375,4,431,5,19,72%,0,0/0
D. Harris,NO,6,104,8,97,21,18.4%,22,16.1%,45,427,5,427,2,58,60%,0,1/27
D. Jackson,2TM,7,100,7,97,4,45.7%,4,43.7%,20,361,21,287,2,58,60%,1,2/47
D. Peoples-Jones,CLE,8,95,9,88,12,28.2%,13,25.5%,28,340,13,328,3,35,64%,1,1/14
C. Wilson,DAL,9,92,11,80,24,13.4%,29,10.0%,44,420,6,425,3,24,68%,0,1/14
G. Davis,BUF,10,89,6,98,13,27.6%,9,31.9%,27,312,16,311,2,41,63%,0,1/7
K. Cole,NYJ,11,78,12,78,23,16.5%,21,16.3%,33,299,11,334,0,68,58%,0,2/55
D. Carter,WAS,12,78,14,71,20,19.6%,20,16.8%,31,261,17,311,3,67,58%,0,0/0
J. Jones,TEN,13,75,22,56,22,18.2%,28,10.3%,31,336,18,308,0,26,68%,0,0/0
D. Parker,MIA,14,75,28,40,29,9.5%,43,-0.8%,43,327,7,384,1,66,58%,0,1/21
R. Bateman,BAL,15,71,10,82,31,8.8%,26,12.0%,38,301,9,374,0,33,66%,0,3/80
16-B.Zylstra,CAR,16,71,13,77,3,53.0%,1,58.9%,14,188,42,192,1,2,86%,0,0/0
Q. Cephus,DET,17,66,16,67,17,23.5%,16,23.8%,22,204,30,246,2,24,68%,0,1/28
N. Westbrook-Ikhine,TEN,18,65,15,67,28,10.0%,27,10.7%,36,297,12,330,3,21,69%,1,1/30
C. Conley,HOU,19,63,18,62,14,25.0%,14,24.5%,22,233,37,228,1,36,64%,1,0/0
Z. Jones,LV,20,61,21,57,19,21.8%,19,19.6%,23,236,33,234,1,56,61%,0,1/33
K. Hinton,DEN,21,59,19,59,10,30.5%,10,30.3%,16,145,41,198,1,8,75%,0,1/20
K. Golladay,NYG,22,56,17,66,37,3.4%,33,6.0%,41,372,10,370,0,72,56%,0,4/31
M. Goodwin,CHI,23,55,25,43,30,8.9%,35,4.3%,33,277,20,290,1,90,48%,0,2/58
C. Sims,WAS,24,52,23,48,1,57.2%,2,51.1%,9,81,60,138,1,5,78%,0,1/13
T. Sharpe,ATL,25,49,20,58,27,10.5%,23,14.8%,27,213,29,246,0,5,78%,0,1/19
85-A.Wesley,ARI,26,46,26,41,5,39.9%,7,35.0%,11,113,59,138,0,15,73%,0,1/35
T. Smith,NO,27,45,27,41,32,7.5%,34,5.7%,30,236,31,246,2,27,67%,0,0/0
N. Harry,NE,28,43,24,44,6,37.9%,6,38.1%,10,117,63,134,0,3,80%,0,1/10
A. Humphries,WAS,29,43,37,30,35,3.8%,45,-1.3%,34,269,22,276,0,13,74%,0,1/21
M. Sanu,SF,30,40,35,31,33,6.6%,38,1.9%,24,177,35,230,0,42,63%,0,3/23
