,2020 COMPLETED PASS,2020 ATTEMPTED PASS,2020 PASSING YDS,2020 PASSING TD,2020 INT,2020 CAR,2020 RUSH YDS,2020 RUSH TD,2020 FPTS
0,296.0,465.0,3425.0,25.0,10.0,156.0,902.0,6.0,338.23
1,364.0,557.0,4465.0,32.0,10.0,61.0,280.0,3.0,332.66
2,337.0,517.0,4018.0,27.0,12.0,87.0,519.0,4.0,314.06
3,350.0,543.0,4280.0,27.0,11.0,49.0,248.0,4.0,301.71
4,300.0,473.0,3692.0,29.0,9.0,73.0,397.0,2.0,293.96
5,349.0,544.0,3819.0,26.0,12.0,87.0,469.0,3.0,293.94
6,361.0,575.0,4455.0,31.0,9.0,24.0,27.0,2.0,291.22
7,390.0,600.0,4533.0,28.0,12.0,32.0,125.0,1.0,282.5
9,337.0,527.0,3801.0,27.0,9.0,54.0,213.0,2.0,268.38
11,291.0,483.0,3414.0,18.0,11.0,96.0,545.0,5.0,266.26
12,333.0,528.0,3820.0,26.0,8.0,43.0,206.0,1.0,265.79
13,339.0,536.0,3718.0,25.0,13.0,52.0,267.0,2.0,254.75
14,369.0,578.0,4280.0,22.0,13.0,31.0,64.0,2.0,243.48
16,296.0,447.0,3491.0,23.0,11.0,58.0,206.0,2.0,238.77
17,314.0,501.0,3656.0,25.0,15.0,33.0,130.0,2.0,235.7
18,314.0,467.0,3704.0,25.0,13.0,45.0,74.0,2.0,233.19
20,335.0,495.0,3739.0,21.0,9.0,33.0,93.0,2.0,229.99
27,305.0,457.0,3389.0,20.0,9.0,25.0,70.0,1.0,208.42
