,2020 CAR,2020 RUSH YARDS,2020 RUSH AVG,2020 RUSH TD,2020 REC,2020 REC YDS,2020 REC TD,2020 FPTS
0,233.0,1048.0,4.5,9.0,90.0,736.0,3.0,333.95
1,282.0,1244.0,4.4,10.0,57.0,455.0,2.0,300.76
2,261.0,1176.0,4.5,10.0,57.0,458.0,3.0,292.33
4,194.0,876.0,4.5,8.0,78.0,600.0,3.0,290.39
6,288.0,1308.0,4.5,12.0,26.0,212.0,1.0,250.7
7,206.0,914.0,4.4,11.0,44.0,366.0,2.0,249.23
8,243.0,1061.0,4.4,7.0,43.0,359.0,2.0,238.78
9,163.0,715.0,4.4,4.0,64.0,606.0,3.0,237.62
12,269.0,1148.0,4.3,6.0,38.0,293.0,1.0,228.77
15,230.0,932.0,4.0,6.0,39.0,374.0,3.0,220.27
18,180.0,722.0,4.0,6.0,46.0,361.0,2.0,201.44
20,86.0,387.0,4.5,3.0,56.0,495.0,3.0,180.52
21,170.0,721.0,4.2,6.0,37.0,285.0,1.0,180.49
23,176.0,798.0,4.5,3.0,41.0,320.0,1.0,175.75
26,213.0,853.0,4.0,6.0,26.0,217.0,1.0,172.15
27,159.0,737.0,4.6,7.0,23.0,184.0,1.0,162.4
31,174.0,747.0,4.3,6.0,25.0,187.0,1.0,156.51
33,159.0,741.0,4.7,7.0,18.0,159.0,1.0,155.87
40,88.0,397.0,4.5,5.0,30.0,240.0,2.0,134.81
53,83.0,364.0,4.4,2.0,26.0,205.0,1.0,102.88
