,2020 TAR,2020 REC,2020 REC YARDS,2020 AVG REC YARDS,2020 REC TDS,2020 RUSH CAR,2020 RUSH YARDS,2020 RUSH TDS,2020 FPTS
0,152.0,114.0,1351.0,11.9,9.0,0.0,0.0,0.0,301.44
1,141.0,92.0,1140.0,12.3,8.0,4.0,23.0,0.0,255.3
2,139.0,89.0,1245.0,14.0,7.0,2.0,10.0,0.0,253.95
3,131.0,88.0,1191.0,13.6,8.0,0.0,0.0,0.0,251.83
4,137.0,90.0,1149.0,12.7,7.0,0.0,0.0,0.0,249.39
5,124.0,79.0,1120.0,14.2,8.0,10.0,65.0,1.0,249.21
6,137.0,77.0,1171.0,15.1,9.0,0.0,0.0,0.0,249.12
7,120.0,78.0,1104.0,14.2,6.0,4.0,25.0,0.0,229.98
8,132.0,87.0,1122.0,12.9,4.0,7.0,49.0,0.0,229.1
9,116.0,66.0,1114.0,16.9,8.0,0.0,0.0,0.0,224.8
10,127.0,80.0,1035.0,12.9,7.0,0.0,0.0,0.0,223.95
11,138.0,85.0,1041.0,12.3,6.0,2.0,11.0,0.0,223.82
12,117.0,75.0,1066.0,14.3,7.0,2.0,12.0,0.0,222.48
13,128.0,83.0,1051.0,12.7,3.0,15.0,101.0,1.0,222.23
14,115.0,77.0,1016.0,13.3,7.0,2.0,11.0,0.0,220.08
15,125.0,73.0,1049.0,14.3,7.0,2.0,12.0,0.0,219.98
16,104.0,73.0,993.0,13.6,7.0,4.0,27.0,0.0,218.42
17,127.0,72.0,1010.0,14.0,7.0,4.0,24.0,0.0,216.07
18,110.0,67.0,1040.0,15.6,7.0,4.0,27.0,0.0,215.49
19,117.0,80.0,992.0,12.5,6.0,4.0,23.0,0.0,215.21
20,124.0,74.0,1070.0,14.4,5.0,0.0,0.0,0.0,212.32
21,128.0,83.0,978.0,11.7,5.0,4.0,25.0,0.0,211.75
22,115.0,71.0,1015.0,14.2,6.0,0.0,0.0,0.0,211.41
23,122.0,75.0,976.0,13.1,6.0,0.0,0.0,0.0,208.94
24,122.0,73.0,984.0,13.4,5.0,2.0,9.0,0.0,205.12
25,121.0,70.0,1019.0,14.5,5.0,0.0,0.0,0.0,203.79
26,104.0,64.0,924.0,14.5,8.0,2.0,11.0,0.0,202.1
27,111.0,64.0,994.0,15.5,6.0,0.0,0.0,0.0,198.86
28,100.0,62.0,888.0,14.3,7.0,2.0,11.0,0.0,195.44
29,123.0,78.0,906.0,11.6,4.0,4.0,25.0,0.0,194.76
31,109.0,71.0,786.0,11.1,6.0,7.0,52.0,0.0,190.6
32,103.0,64.0,860.0,13.4,7.0,0.0,0.0,0.0,190.16
